"name" , "web_page" , "domain" , "country"
"Bemidji State University" , "http://bsuweb.bemidji.msus.edu/" , "bemidji.msus.edu" , "USA" 
"Benedictine College" , "http://www.benedictine.edu/" , "benedictine.edu" , "USA" 
"Bennington College" , "http://www.bennington.edu/" , "bennington.edu" , "USA" 
"Bentley College" , "http://www.bentley.edu/" , "bentley.edu" , "USA" 
"Berea College" , "http://www.berea.edu/" , "berea.edu" , "USA" 
"Berklee College of Music" , "http://www.berklee.edu/" , "berklee.edu" , "USA" 
"Bethany College (CA)" , "http://www.bethany.edu/" , "bethany.edu" , "USA" 
"Bethany College (WV)" , "http://info.bethany.wvnet.edu/" , "bethany.wvnet.edu" , "USA" 
"Bethel College (KS)" , "http://www.bethelks.edu/" , "bethelks.edu" , "USA" 
"Bethel College and Seminary (MN)" , "http://www.bethel.edu/" , "bethel.edu" , "USA" 
"Biola University" , "http://www.biola.edu/" , "biola.edu" , "USA" 
"Birmingham-Southern College" , "http://www.bsc.edu/" , "bsc.edu" , "USA" 
"Black Hills State University" , "http://www.bhsu.edu/" , "bhsu.edu" , "USA" 
"Bloomsburg University of Pennsylvania" , "http://www.bloomu.edu/" , "bloomu.edu" , "USA" 
"Bluffton College" , "http://www.bluffton.edu/" , "bluffton.edu" , "USA" 
"Bob Jones University" , "http://www.bju.edu/" , "bju.edu" , "USA" 
"Boise State University" , "http://www.idbsu.edu/" , "idbsu.edu" , "USA" 
"Boston College" , "http://infoeagle.bc.edu/" , "bc.edu" , "USA" 
"Boston Graduate School of Psychoanalysis" , "http://www.bgsp.edu/" , "bgsp.edu" , "USA" 
"Boston University" , "http://web.bu.edu/" , "bu.edu" , "USA" 
"Bowdoin College" , "http://www.bowdoin.edu/" , "bowdoin.edu" , "USA" 
"Bowie State University" , "http://www.bsu.umd.edu/" , "bsu.umd.edu" , "USA" 
"Bowling Green State University" , "http://www.bgsu.edu/" , "bgsu.edu" , "USA" 
"Bradley University" , "http://www.bradley.edu/" , "bradley.edu" , "USA" 
"Brandeis University" , "http://www.brandeis.edu/" , "brandeis.edu" , "USA" 
"Brenau University" , "http://www.brenau.edu/" , "brenau.edu" , "USA" 
"Briar Cliff College" , "http://www.briar-cliff.edu/" , "briar-cliff.edu" , "USA" 
"Bridgewater College" , "http://www.bridgewater.edu/" , "bridgewater.edu" , "USA" 
"Brigham Young University" , "http://www.byu.edu/" , "byu.edu" , "USA" 
"Brigham Young University Hawaii" , "http://www.byuh.edu/" , "byuh.edu" , "USA" 
"Brown University" , "http://www.brown.edu/" , "brown.edu" , "USA" 
"Bryant College" , "http://www.bryant.edu/" , "bryant.edu" , "USA" 
"Bryn Mawr College" , "http://www.brynmawr.edu/college" , "brynmawr.edu" , "USA" 
"Bucknell University" , "http://www.bucknell.edu/" , "bucknell.edu" , "USA" 
"Buena Vista University" , "http://www.bvu.edu/" , "bvu.edu" , "USA" 
"Butler University" , "http://www.butler.edu/" , "butler.edu" , "USA" 
"California Coast University" , "http://www.calcoastuniv.edu/ccu/" , "calcoastuniv.edu" , "USA" 
"California Institute of Technology" , "http://www.caltech.edu/" , "caltech.edu" , "USA" 
"California Lutheran University" , "http://robles.callutheran.edu/" , "callutheran.edu" , "USA" 
"California Maritime Academy" , "http://www.csum.edu/" , "csum.edu" , "USA" 
"California National University" , "http://www.cnuas.edu/" , "cnuas.edu" , "USA" 
"California Polytechnic State University, San Luis Obispo" , "http://www.calpoly.edu/" , "calpoly.edu" , "USA" 
"California State Polytechnic University, Pomona" , "http://www.csupomona.edu/" , "csupomona.edu" , "USA" 
"California State University System" , "http://www.calstate.edu/" , "calstate.edu" , "USA" 
"California State University, Bakersfield" , "http://www.csubak.edu/" , "csubak.edu" , "USA" 
"California State University, Chico" , "http://www.csuchico.edu/" , "csuchico.edu" , "USA" 
"California State University, Dominguez Hills" , "http://www.csudh.edu/" , "csudh.edu" , "USA" 
"California State University, Fresno" , "http://www.csufresno.edu/" , "csufresno.edu" , "USA" 
"California State University, Fullerton" , "http://www.fullerton.edu/" , "fullerton.edu" , "USA" 
"California State University, Hayward" , "http://www.csuhayward.edu/" , "csuhayward.edu" , "USA" 
"California State University, Long Beach" , "http://www.csulb.edu/" , "csulb.edu" , "USA" 
"California State University, Los Angeles" , "http://www.calstatela.edu/" , "calstatela.edu" , "USA" 
"California State University, Monterey Bay" , "http://www.monterey.edu/" , "monterey.edu" , "USA" 
"California State University, Northridge" , "http://www.csun.edu/" , "csun.edu" , "USA" 
"California State University, Sacramento" , "http://www.csus.edu/" , "csus.edu" , "USA" 
"California State University, San Bernardino" , "http://www.csusb.edu/" , "csusb.edu" , "USA" 
"California State University, San Jose" , "http://www.sjsu.edu/" , "sjsu.edu" , "USA" 
"California State University, San Marcos" , "http://coyote.csusm.edu/" , "csusm.edu" , "USA" 
"California State University, Sacramento" , "http://www.csus.edu/" , "csus.edu" , "USA" 
"California State University, Stanislaus" , "http://lead.csustan.edu/" , "csustan.edu" , "USA" 
"California University of Pennsylvania" , "http://www.cup.edu/" , "cup.edu" , "USA" 
"Calvin College" , "http://www.calvin.edu/" , "calvin.edu" , "USA" 
"Campbell University" , "http://www.campbell.edu/" , "campbell.edu" , "USA" 
